,metric,param_index,run_index,indexes,accuracies,false_negatives,false_positives,true_positives,true_negatives
0,0.05281256367866078,1,1,0,0.8927430863767432,1607,52,421,340
1,0.051415419108820005,1,2,1,0.8922153672756878,1622,44,406,348
2,0.0444108951405733,1,2,4,0.8257672318921321,1481,930,133,9176
3,0.05281256367866078,1,3,0,0.8927430863767432,1607,52,421,340
4,0.044525181475348105,1,3,4,0.8257721669331131,1480,931,134,9175
5,0.05281256367866078,2,1,0,0.8927430863767432,1607,52,421,340
6,0.0444108951405733,2,1,4,0.8259445276315046,1481,927,133,9179
7,0.05281256367866078,2,2,0,0.8927430863767432,1607,52,421,340
8,0.0444108951405733,2,2,4,0.825889242359501,1481,928,133,9178
9,0.05281256367866078,2,3,0,0.8927430863767432,1607,52,421,340
